Curso;Cadeiras;Turno;Turma;Inscritos;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala;Lotação;Características reais da sala;Sala da aula
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;24/10/2022;Sala Aulas Mestrado;AA2.23;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;D1.05
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;17/10/2022;Sala Aulas Mestrado;AA3.24;34.0;Sala/anfiteatro aulas, Horário sala visível portal público;C3.02
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;10/10/2022;Sala Aulas Mestrado;AA3.24;54.0;Sala/anfiteatro aulas, Horário sala visível portal público;Auditório Silva Leal
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;03/10/2022;Sala Aulas Mestrado;AA2.28;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.29
PIUDHIST;Seminário de Projecto I (Piudhist);SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;26/09/2022;Sala Aulas Mestrado;AA2.26;1.0;Sala/anfiteatro aulas, Horário sala visível portal público;1NE00
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;14/12/2022;Sala/anfiteatro aulas;2,00E+07;60.0;Sala/anfiteatro aulas, Horário sala visível portal público;B3.03
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;07/12/2022;Sala de Aulas normal;2,00E+07;60.0;Sala/anfiteatro aulas, Horário sala visível portal público;B3.02
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;2,00E+07;1.0;Sala/anfiteatro aulas, Horário sala visível portal público;0NE
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;23/11/2022;Sala de Aulas normal;2,00E+07;20.0;Sala/anfiteatro aulas, Horário sala visível portal público;D1.10
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;16/11/2022;Sala de Aulas normal;2,00E+07;52.0;Sala/anfiteatro aulas, Horário sala visível portal público;C4.01
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;09/11/2022;Sala de Aulas normal;2,00E+07;38.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.25
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;02/11/2022;Sala de Aulas normal;2,00E+07;60.0;Sala/anfiteatro aulas, Horário sala visível portal público;B3.05
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;26/10/2022;Sala de Aulas normal;2,00E+07;13.0;Sala/anfiteatro aulas, Horário sala visível portal público;C4.03
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;19/10/2022;Sala de Aulas normal;2,00E+07;48.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.28
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;12/10/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.29
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;28/09/2022;Sala de Aulas normal;2,00E+07;192.0;Sala/anfiteatro aulas, Horário sala visível portal público;Auditório B1.04
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;21/09/2022;Sala de Aulas normal;2,00E+07;296.0;Sala/anfiteatro aulas, Horário sala visível portal público;Auditório 1NE03 - JJ Laginha
CT;Gestão de Conflitos;00668TP02;CI-CT-02;24;Qui;13:00:00;15:00:00;10/11/2022;Sala de Aulas normal;AA3.30;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;1,00E+06
CT;Gestão de Conflitos;00668TP02;CI-CT-02;24;Qui;13:00:00;15:00:00;03/11/2022;Sala de Aulas normal;AA3.30;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.29
CT;Gestão de Conflitos;00668TP02;CI-CT-02;24;Qui;13:00:00;15:00:00;27/10/2022;Sala de Aulas normal;AA3.30;52.0;Sala/anfiteatro aulas, Horário sala visível portal público;C4.01
CT;Gestão de Conflitos;00668TP02;CI-CT-02;24;Qui;13:00:00;15:00:00;20/10/2022;Sala de Aulas normal;AA3.30;60.0;Sala/anfiteatro aulas, Horário sala visível portal público;C5.01
CT;Gestão de Conflitos;00668TP02;CI-CT-02;24;Qui;13:00:00;15:00:00;13/10/2022;Sala de Aulas normal;AA3.30;8.0;Sala/anfiteatro aulas, Horário sala visível portal público;C5.03
CT;Gestão de Conflitos;00668TP02;CI-CT-02;24;Qui;13:00:00;15:00:00;06/10/2022;Sala de Aulas normal;AA3.30;60.0;Sala/anfiteatro aulas, Horário sala visível portal público;C5.01
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;09/12/2022;Sala/anfiteatro aulas;C5.06;41.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;0S02
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;02/12/2022;Sala/anfiteatro aulas;C5.06;60.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Auditório C1.04
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;25/11/2022;Sala/anfiteatro aulas;C5.06;50.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;2,00E+08
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;18/11/2022;Sala/anfiteatro aulas;C5.06;27.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;D1.07
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;11/11/2022;Sala/anfiteatro aulas;C5.06;204.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Auditório B1.03
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;28/10/2022;Sala/anfiteatro aulas;C5.06;12.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;C6.06
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;21/10/2022;Sala/anfiteatro aulas;C5.06;40.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;C6.02
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;14/10/2022;Sala/anfiteatro aulas;C5.06;1.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;B2
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;07/10/2022;Sala/anfiteatro aulas;C5.06;250.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Auditório 4
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;30/09/2022;Sala/anfiteatro aulas;C5.06;10.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;D1.08
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;23/09/2022;Sala/anfiteatro aulas;C5.06;35.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;D1.01
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;16/09/2022;Não necessita de sala;;56.0;;C6.07
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;05/12/2022;Sala/anfiteatro aulas;AA2.24;27.0;Sala/anfiteatro aulas, Horário sala visível portal público;D1.14
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;28/11/2022;Sala/anfiteatro aulas;D1.07;24.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;C2.05
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;21/11/2022;Sala/anfiteatro aulas;D1.07;50.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;1,00E+02
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;14/11/2022;Sala/anfiteatro aulas;D1.07;60.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;C5.09
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;07/11/2022;Sala/anfiteatro aulas;D1.07;129.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Auditório 2
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;31/10/2022;Sala/anfiteatro aulas;D1.07;22.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;D1.11
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;24/10/2022;Sala/anfiteatro aulas;D1.07;68.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;C4.07
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;17/10/2022;Sala/anfiteatro aulas;D1.07;50.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;1,00E+06
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;05/12/2022;Sala/anfiteatro aulas;AA2.24;6.0;Sala/anfiteatro aulas, Horário sala visível portal público;C2.03
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;28/11/2022;Sala/anfiteatro aulas;D1.07;1.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;1NE00
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;21/11/2022;Sala/anfiteatro aulas;D1.07;296.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Auditório 1NE03 - JJ Laginha
