Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;13:00:00;14:30:00;02/12/2022;Sala Aulas Mestrado;AA3.26;30.0;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;23/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;16/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;09/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;02/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;Auditório C1.03;70.0;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;21/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;14/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;07/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;C5.08;60.0;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;22/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;15/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;08/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;10:30:00;12:00:00;04/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;12:00:00;13:30:00;04/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;14:30:00;16:00:00;02/12/2022;Sala Aulas Mestrado;AA2.28;30.0;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;28/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;21/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;14/11/2022;Sala Aulas Mestrado;C5.01;60.0;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;07/11/2022;Sala Aulas Mestrado;D1.05;30.0;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
